fecha;kgs_netos
2022-01-11;202560
2022-01-11;159400
2022-01-11;129847
2022-01-11;33900
2022-01-11;265340
2022-01-11;445260
2022-01-10;217240
2022-01-07;206740
2022-01-07;303073
2022-01-07;294140
2022-01-06;149060
2022-01-05;599869
2022-01-05;243320
2022-01-05;210400
2022-01-05;259980
2022-01-05;415532
2022-01-05;303960
2022-01-05;456476
2022-01-04;170380
2022-01-04;225910
2022-01-04;469500
2022-01-03;63889
2022-01-03;506619
2022-01-03;513860
2021-12-31;510048
2021-12-31;192788
2021-12-31;224860
2021-12-29;406350
2021-12-29;326908
2021-12-29;255380
2021-12-29;341020
2021-12-29;58760
2021-12-29;605520
2021-12-29;277560
2021-12-29;273100
2021-12-27;376997
2021-12-27;119638
2021-12-27;472415
2021-12-27;448622
2021-12-27;215660
2021-12-24;588636
2021-12-24;1260428
2021-12-24;30020
2021-12-24;31760
2021-12-24;30940
2021-12-24;52380
2021-12-24;302220
2021-12-24;207760
2021-12-24;275640
2021-12-22;255260
2021-12-22;765878
2021-12-22;513674
2021-12-22;62360
2021-12-22;33431
2021-12-22;532129
2021-12-22;558760
2021-12-21;95797
2021-12-20;519380
2021-12-20;197440
2021-12-20;261880
2021-12-17;1427298
2021-12-17;556573
2021-12-17;762595
2021-12-17;223616
2021-12-17;268880
2021-12-17;271120
2021-12-16;148980
2021-12-15;512000
2021-12-15;273880
2021-12-15;2068320
2021-12-15;253640
2021-12-15;238160
2021-12-15;747362
2021-12-15;360500
2021-12-15;500580
2021-12-15;518080
2021-12-13;267500
2021-12-13;237400
2021-12-13;158480
2021-12-13;36560
2021-12-10;305179
2021-12-10;518120
2021-12-10;266960
2021-12-10;60982
2021-12-10;133080
2021-12-10;317680
2021-12-10;89900
2021-12-09;742881
2021-12-09;827633
2021-12-06;1035400
2021-12-06;165304
2021-12-06;106660
2021-12-06;488440
2021-12-06;401600
2021-12-01;1470507
2021-12-01;728980
2021-12-01;496900
2021-12-01;1006880
2021-12-01;145120
2021-11-30;350450
2021-11-29;214640
2021-11-29;89460
2021-11-29;802740
2021-11-26;223173
2021-11-26;770772
2021-11-26;29530
2021-11-26;27800
2021-11-26;531260
2021-11-26;336940
2021-11-26;117800
2021-11-26;60020
2021-11-26;67158
2021-11-26;27777
2021-11-24;751048
2021-11-24;149784
2021-11-24;356640
2021-11-24;85500
2021-11-19;161240
2021-11-19;58340
2021-11-17;1011751
2021-11-17;495475
2021-11-17;522515
2021-11-15;122340
2021-11-15;327300
2021-11-15;64578
2021-11-15;313780
2021-11-15;295880
2021-11-12;408140
2021-11-12;223735
2021-11-12;125833
2021-11-12;397660
2021-11-12;511659
2021-11-12;235160
2021-11-12;118300
2021-11-12;33980
2021-11-12;466680
2021-11-12;232380
2021-11-12;501640
2021-11-12;272540
2021-11-10;301180
2021-11-10;397701
2021-11-10;1007376
2021-11-10;203620
2021-11-10;719051
2021-11-10;221180
2021-11-10;59900
2021-11-08;240720
2021-11-08;504100
2021-11-08;54360
2021-11-08;92380
2021-11-05;206340
2021-11-03;318760
2021-11-03;391684
2021-11-03;297147
2021-11-03;28366
2021-11-03;114800
2021-11-01;262959
2021-11-01;227240
2021-10-29;412560
2021-10-29;65740
2021-10-29;440800
2021-10-29;308760
2021-10-29;58524
2021-10-29;96880
2021-10-25;506920
2021-10-25;115294
2021-10-25;407560
2021-10-25;22520
2021-10-25;84520
2021-10-22;421900
2021-10-22;195480
2021-10-22;26595
2021-10-22;307220
2021-10-22;302380
2021-10-20;410853
2021-10-20;927012
2021-10-20;318680
2021-10-20;60400
2021-10-20;181480
2021-10-20;181380
2021-10-20;151240
2021-10-20;881991
2021-10-18;504968
2021-10-15;162900
2021-10-15;164940
2021-10-15;134920
2021-10-15;170540
2021-10-13;374580
2021-10-12;489702
2021-10-12;309155
2021-10-12;497700
2021-10-12;516380
2021-10-12;323540
2021-10-06;1199760
2021-10-06;59857
2021-10-04;502020
2021-10-04;31500
2021-10-04;150220
2021-10-01;226669
2021-10-01;194841
2021-10-01;505757
2021-10-01;116300
2021-10-01;59199
2021-09-29;232440
2021-09-29;238698
2021-09-29;287600
2021-09-29;85100
2021-09-29;314636
2021-09-29;360020
2021-09-27;1030733
2021-09-27;931770
2021-09-27;59700
2021-09-27;236920
2021-09-24;58600
2021-09-22;30660
2021-09-22;349620
2021-09-22;156860
2021-09-22;309857
2021-09-22;301060
2021-09-22;30420
2021-09-22;209400
2021-09-20;359168
2021-09-20;121640
2021-09-20;386000
2021-09-20;361423
2021-09-20;298860
2021-09-20;147340
2021-09-17;309300
2021-09-17;387799
2021-09-15;240760
2021-09-13;116180
2021-09-13;490850
2021-09-13;289023
2021-09-10;214620
2021-09-10;414668
2021-09-10;312193
2021-09-08;343178
2021-09-08;385590
2021-09-08;357920
2021-09-08;270160
2021-09-08;176880
2021-09-08;60160
2021-09-08;60080
2021-09-06;328060
2021-09-06;348780
2021-09-03;175820
2021-09-03;196740
2021-09-01;297080
2021-09-01;1194820
2021-09-01;146740
2021-09-01;193324
2021-08-30;690599
2021-08-30;198425
2021-08-30;316060
2021-08-27;114231
2021-08-27;182100
2021-08-27;291688
2021-08-27;408280
2021-08-27;90134
2021-08-27;167820
2021-08-27;58940
2021-08-27;293780
2021-08-25;203420
2021-08-25;295140
2021-08-25;178600
2021-08-25;302040
2021-08-25;314960
2021-08-25;154800
2021-08-25;329458
2021-08-25;5665344
2021-08-23;300280
2021-08-20;837212
2021-08-20;527527
2021-08-20;359160
2021-08-20;118740
2021-08-20;180648
2021-08-18;121360
2021-08-18;356100
2021-08-18;637860
2021-08-17;58980
2021-08-17;611320
2021-08-17;357420
2021-08-17;395600
2021-08-17;367014
2021-08-13;296745
2021-08-13;592177
2021-08-13;491197
2021-08-13;245173
2021-08-11;1001889
2021-08-11;800380
2021-08-11;118080
2021-08-11;303438
2021-08-11;114174
2021-08-09;438020
2021-08-09;491897
2021-08-09;301480
2021-08-09;57320
2021-08-06;618780
2021-08-06;303100
2021-08-06;146009
2021-08-06;461020
2021-08-06;59760
2021-08-06;57260
2021-08-06;558685
2021-08-04;202423
2021-08-04;516831
2021-08-04;145846
2021-08-04;1567772
2021-08-02;498521
2021-08-02;87025
2021-07-30;293423
2021-07-30;197601
2021-07-30;246040
2021-07-28;789925
2021-07-28;261688
2021-07-28;518765
2021-07-28;209800
2021-07-26;250435
2021-07-26;217576
2021-07-26;151285
2021-07-26;200000
2021-07-26;351780
2021-07-26;764572
2021-07-23;56358
2021-07-23;1093121
2021-07-23;89620
2021-07-23;59260
2021-07-21;301540
2021-07-21;339056
2021-07-21;508480
2021-07-21;514238
2021-07-21;398624
2021-07-21;269320
2021-07-19;504716
2021-07-19;628066
2021-07-19;60680
2021-07-19;321442
2021-07-19;508301
2021-07-19;411919
2021-07-19;30003
2021-07-16;208232
2021-07-16;396482
2021-07-16;61340
2021-07-16;520113
2021-07-16;297162
2021-07-16;419943
2021-07-16;200000
2021-07-16;756673
2021-07-16;1668229
2021-07-14;91580
2021-07-14;29700
2021-07-14;91736
2021-07-14;245062
2021-07-12;315802
2021-07-12;476128
2021-07-12;116940
2021-07-12;515363
2021-07-07;448157
2021-07-07;513900
2021-07-07;516810
2021-07-07;510516
2021-07-07;1486593
2021-07-07;512701
2021-07-07;117140
2021-07-05;405240
2021-07-05;513816
2021-07-05;201898
2021-07-05;446600
2021-07-05;506583
2021-07-05;371170
2021-07-05;312840
2021-07-02;2816870
2021-07-02;198691
2021-07-02;521943
2021-06-30;29000
2021-06-30;504241
2021-06-30;106220
2021-06-30;335520
2021-06-28;498751
2021-06-28;502382
2021-06-28;1006861
2021-06-25;29340
2021-06-25;83394
2021-06-25;148900
2021-06-25;52020
2021-06-25;416166
2021-06-25;148460
2021-06-25;162574
2021-06-25;205540
2021-06-25;123193
2021-06-25;508340
2021-06-25;209440
2021-06-24;113660
2021-06-22;307060
2021-06-22;210120
2021-06-15;595870
2021-06-14;404360
2021-06-14;306800
2021-06-11;214322
2021-06-11;301240
2021-06-11;311113
2021-06-11;30360
2021-06-11;306480
2021-06-11;384858
2021-06-09;273992
2021-06-09;113685
2021-06-09;229071
2021-06-09;205460
2021-06-09;200000
2021-06-08;504238
2021-06-08;293105
2021-06-04;2993385
2021-06-04;641042
2021-06-04;57680
2021-06-04;224900
2021-06-04;232660
2021-06-02;498180
2021-06-02;27909
2021-06-01;445630
